Продукт,Белки,Жиры,Углеводы,Калорийность
Суп Домашнее Бистро грибной с белыми грибами,4.0,10.0,42.0,274
Суп Домашнее Бистро куриный с вермишелью,7.0,8.0,40.0,260
Суп Домашнее Бистро рассольник с говядиной,1.5,7.0,11.0,109
Суп из зелёного горошка,3.2,1.2,11.2,56
Суп из лука-порея с макаронами,1.4,1.1,6.6,39
Суп из помидоров,1.3,1.8,1.9,28
Суп из помидоров с макаронами,1.5,1.8,3.3,35
Суп из помидоров с рисом,1.5,1.8,3.9,37
Суп из сельдерея,1.6,1.8,4.5,37
Суп из стручковой фасоли,2.2,0.6,8.9,43
Суп из цветной капусты (общепит),1.6,0.5,4.9,28
Суп из шпината с картофелем,2.2,0.9,6.6,40
Суп Итальянский с мелкой пастой,18.0,1.5,55.0,310
Суп картофельный,1.4,1.1,6.6,39
Суп картофельный с крупой,1.3,1.2,9.5,54
Суп картофельный с макаронными изделиями,1.3,1.0,8.4,48
Суп Лидкон гороховый со вкусом копченостей,16.0,4.5,42.0,270
Суп лимонный с рисом,1.4,2.2,8.7,58
Суп луковый,1.4,2.7,4.0,44
Суп молочный с макаронами,2.2,1.9,7.9,58
Суп молочный с рисом,1.8,1.9,7.3,54
Суп овощной,1.7,1.8,6.2,43
Суп овощной с фасолью,1.6,2.1,5.2,46
Суп перловый с грибами,1.6,1.2,6.4,43
Суп пшенный с мясом,2.9,2.2,6.4,57
Суп рисовый с мясом,0.7,1.1,5.2,34
Суп с бобовыми,3.4,2.2,1.4,66
Суп с рисом Asian Fusion грибной со шпинатом и яйцом,15.0,2.0,58.0,310
Суп фасолевый,4.0,1.8,10.0,62
Суп фруктовый из яблок,0.1,0.1,11.8,42
Суп харчо с мясом,3.1,4.5,5.5,75
Суп щавелевый,1.6,2.5,2.9,40
Суп-лапша Asian Fusion из морепродуктов с креветками,10.0,17.0,62.0,440
Суп-пюре Yelli из гороха с карри,21.0,2.0,50.0,310
Суп-пюре из рисовой крупы,1.4,1.3,7.7,48
Уха,3.4,1.0,5.5,46
Щи из квашеной капусты с картофелем,0.6,2.1,2.7,32
Щи из свежей капусты (готовые),0.9,2.1,3.1,31
Щи из свежей капусты с картофелем,1.0,3.8,2.1,38
Щи суточные,0.6,2.8,1.5,34
Десерт горячий Брауни Бургер Кинг,5.6,30.9,39.2,456
Десерт мороженое Рожок Бургер Кинг,4.2,4.2,25.5,157
Картофель Деревенский Бургер Кинг,2.9,10.8,28.5,223
Картофель Кинг Фри Бургер Кинг,4.7,13.1,33.6,275
Напиток 7UP Бургер Кинг,0.0,0.0,10.7,43
Напиток Mirinda Бургер Кинг,0.0,0.0,12.2,49
Напиток Pepsi Бургер Кинг,0.0,0.0,10.8,43
Напиток кофе Бургер Кинг,0.0,0.0,0.0,
Напиток кофе Капучино Бургер Кинг,2.0,2.2,4.9,48
Напиток кофе Латте Бургер Кинг,2.6,2.8,5.9,60
Напиток Молочный шейк (ванильный) Бургер Кинг,3.9,4.0,23.4,145
Напиток чай (зеленый и черный) Бургер Кинг,0.0,0.0,0.0,
Салат Микс Бургер Кинг,1.3,0.2,4.0,23
Снеки Кинг Наггетс,16.0,16.7,15.2,275
Снеки Крылышки Кинг,21.8,13.7,2.6,221
Снеки Луковые колечки Бургер Кинг,5.2,13.3,38.1,293
Сэндвич Биг Кинг,8.5,13.1,14.9,212
Сэндвич Воппер,9.2,12.1,15.4,207
Сэндвич Воппер Двойной,11.9,15.1,12.1,230
Сэндвич Воппер Джуниор,9.2,10.7,19.0,207
Сэндвич Воппер Тройной,13.7,16.4,9.9,240
Сэндвич Гамбургер Бургер Кинг,7.6,5.1,25.9,182
Сэндвич Гриль Чикен Барбекю,12.1,11.9,18.5,233
Сэндвич Криспи Чикен,9.7,15.8,18.9,257
Сэндвич Стейкхаус Бургер Кинг,12.0,16.5,18.6,276
Сэндвич Фиш Кинг,8.8,14.9,21.4,255
Сэндвич Цезарь Ролл Бургер Кинг,10.7,10.9,19.7,230
Сэндвич Чизбургер Бургер Кинг,8.8,7.3,23.6,198
Сэндвич Чизбургер Двойной Бургер Кинг,9.6,8.6,17.0,187
Сэндвич Чикен Лонг,10.9,16.1,22.4,278
Сэндвич Чикенбургер Бургер Кинг,8.3,16.2,22.6,270
Баскет 16 крыльев,13.8,19.5,18.6,306
Баскет 25 крыльев,16.6,20.7,15.4,314
Баскет Дуэт оригинальный и острый,16.5,15.1,17.2,271
Баскет Пати,10.2,17.0,22.3,284
Баскет Стар,17.0,15.1,17.2,273
Десерт Мороженое Айс Дрим Клубника или Шоколад KFC,3.6,3.4,32.0,173
Десерт Мороженое в рожке Летнее KFC,4.4,3.9,25.3,154
Десерт Мороженое Летняя фантазия Клубничное KFC,3.5,3.5,30.5,167
Десерт Пирожок Хот Пай Дуэт Вишня и Шоколад KFC,7.5,29.8,58.3,531
Десерт Чизкейк Нью Йорк Карамель KFC,6.8,21.2,32.1,346
Десерт Чизкейк Нью Йорк Клубника KFC,5.2,20.3,34.1,339
Десерт Чизкейк Нью Йорк Шоколад KFC,5.5,20.7,33.1,341
Завтрак Биггер Утренний оригинальный,11.0,9.9,20.4,214
Завтрак Биггер Утренний острый,10.5,8.8,20.8,205
Завтрак Блинчики KFC,8.0,4.7,32.9,205
Завтрак Боксмастер утренний,9.4,10.5,17.9,203
Завтрак Брейкер,11.2,10.9,22.8,234
Завтрак Бустер,12.6,10.1,19.5,219
Завтрак Картофельный Хашбраун KFC,2.4,52.0,14.1,534
Завтрак Овсяная каша KFC,3.3,1.9,16.0,94
Завтрак Райзер,11.3,8.5,24.7,220
Завтрак Твистер утренний,10.6,10.4,18.8,212
Завтрак Тост с сыром KFC,11.1,12.0,34.1,288
Завтрак Яичница с байтсами KFC,18.9,13.9,6.6,228
Картофель фри KFC (стандартная порция),3.8,15.5,30.1,276
Коктейль молочный Милкшейк Лесная клубника KFC 400 мл,3.4,3.5,27.2,143
Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл,3.4,3.5,27.2,154
Курица 1 крыло KFC,16.6,20.7,15.4,314
Курица 1 ножка KFC,21.4,12.6,10.1,239
Курица 1 стрипс оригинальный,24.5,15.2,13.7,290
Курица 1 стрипс острый,22.3,10.3,15.8,245
Курица Байтсы Острые,23.5,11.9,16.6,268
Курица Байтсы Терияки,15.1,8.9,26.0,244
Напиток Кофе Капучино KFC 300 мл,1.8,1.1,10.6,60
Салат Цезарь лайт KFC (без заправки),10.6,7.3,7.3,137
Сэндвич Ай-Твистер Чиз,9.7,13.7,23.3,256
Сэндвич Биггер,12.3,11.4,22.7,242
Сэндвич Боксмастер Жюльен,7.8,15.6,20.1,252
Сэндвич Боксмастер из тостера,8.1,15.6,20.1,252
Сэндвич Зингер,11.6,10.7,22.2,231
Сэндвич Классик,10.9,8.8,24.3,220
Сэндвич Лонгер Жюльен,13.4,15.0,26.3,297
Сэндвич Лонгер Кентукки BBQ,11.6,8.0,28.8,234
Сэндвич Сандерс,10.5,6.1,28.8,212
Сэндвич Твистер Веджи,4.6,18.0,22.2,269
Сэндвич Твистер Жюльен,11.1,13.9,23.6,264
Сэндвич Твистер из тостера,10.0,10.0,22.5,220
Сэндвич Чизбургер Жюльен,11.0,10.5,25.9,242
Большой завтрак McDonalds,30.0,30.0,62.0,640
Большой завтрак McDonalds с джемом,30.0,35.0,58.0,675
Большой завтрак McDonalds с мёдом,30.0,35.0,60.0,685
Десерт Вафельный рожок McDonalds,3.0,4.0,22.0,135
Десерт Вишнёвый пирожок McDonalds,2.0,12.0,29.0,230
Десерт Макфлурри Де Люкс карамельно-шоколадный,7.0,10.0,71.0,400
Десерт Макфлурри Де Люкс клубнично-шоколадный,6.0,8.0,61.0,340
Десерт Макфлурри с рисовыми шариками,6.0,8.0,61.0,340
Десерт Макфлурри с шоколадно-вафельной крошкой,6.0,8.0,40.0,280
Десерт Маффин с чёрной смородиной,5.0,18.0,47.0,370
Десерт Маффин с шоколадом,6.0,12.0,55.0,350
Десерт Мороженое с карамелью,5.0,7.0,60.0,325
Десерт Мороженое с клубникой,5.0,5.0,50.0,265
Десерт Мороженое с шоколадом,6.0,9.0,52.0,315
Картофель по-деревенски McDonalds,4.0,15.0,42.0,330
Картофель фри McDonalds (большая порция),5.0,22.0,54.0,445
Картофель фри McDonalds (маленькая порция),3.0,12.0,29.0,240
Картофель фри McDonalds (средняя порция),5.0,17.0,42.0,340
Коктейль ванильный McDonalds 400 мл,9.0,7.0,71.0,385
Коктейль клубничный McDonalds 400 мл,9.0,7.0,71.0,385
Коктейль шоколадный McDonalds 400 мл,10.0,8.0,70.0,395
Макзавтрак Блины с джемом,7.0,3.0,57.0,303
Макзавтрак Блины с мёдом,7.0,3.0,59.0,308
Макзавтрак Блины стандартные,7.0,3.0,45.0,235
Макзавтрак двойной МакМаффин с яйцом и свиной котлетой,36.0,41.0,31.0,645
Макзавтрак двойной Фреш МакМаффин,27.0,35.0,33.0,560
Макзавтрак МакМаффин с яйцом и беконом,17.0,14.0,27.0,310
Макзавтрак МакМаффин с яйцом и свиной котлетой,24.0,25.0,27.0,435
Макзавтрак МакМаффин с яйцом и сыром,15.0,11.0,27.0,275
Макзавтрак МакМаффин со свиной котлетой,17.0,20.0,27.0,360
Макзавтрак МакТост,10.0,10.0,30.0,255
Макзавтрак МакТост с ветчиной,14.0,11.0,30.0,280
Макзавтрак Овсяная каша с джемом,4.0,4.0,35.0,200
Макзавтрак Овсяная каша с клюквой и изюмом,4.3,4.0,38.0,212
Макзавтрак Овсяная каша с мёдом,4.0,4.0,35.0,210
Макзавтрак Овсяная каша стандартная,4.0,4.0,23.0,150
Макзавтрак Снек Ролл с омлетом и беконом,16.0,16.0,27.0,320
Макзавтрак Снек Ролл с омлетом и свиной котлетой,22.0,26.0,27.0,435
Макзавтрак Фреш МакМаффин,18.0,21.0,33.0,400
Макзавтрак Хашбраун,1.0,8.0,14.0,135
Макзавтрак Чикен Фреш МакМаффин,19.0,13.0,41.0,365
Морковные палочки McDonalds,1.0,0.0,6.0,27
Напиток Апельсиновый сок McDonalds 400 мл,3.0,1.0,41.0,190
Напиток Двойной Эспрессо McDonalds,0.2,0.1,0.2,3
Напиток Капучино McDonalds 300 мл,6.0,7.0,9.0,125
Напиток Кока-Кола McDonalds 400 мл,0.0,0.0,42.0,170
Напиток Кока-Кола Лайт McDonalds 400 мл,0.4,0.0,0.0,2
Напиток Кофе McDonalds 200 мл,0.6,0.2,0.6,7
Напиток Кофе Глясе McDonalds,4.0,3.0,19.0,125
Напиток Кофе Латте McDonalds,6.0,7.0,10.0,125
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл,0.0,0.0,27.0,110
Напиток Липтон Айс-Ти Лимон McDonalds 400 мл,0.0,0.0,27.0,110
Напиток Спрайт McDonalds 400 мл,0.4,0.0,41.0,165
Напиток Фанта McDonalds 400 мл,0.4,0.0,46.0,185
Напиток Чай чёрный/зелёный McDonalds,0.0,0.0,0.0,
Салат Овощной McDonalds,2.0,3.0,5.0,60
Салат Цезарь McDonalds,15.0,10.0,9.0,190
Соус барбекю McDonalds,0.2,0.3,11.0,48
Соус карри McDonalds,0.0,0.0,12.0,50
Соус кетчуп McDonalds,0.0,0.3,6.6,27
Соус кисло-сладкий McDonalds,0.1,0.3,12.0,49
Соус сырный McDonalds,0.6,9.0,1.4,89
Сэндвич Биг Брекфаст Ролл,27.0,36.0,54.0,655
Сэндвич Биг Мак,27.0,26.0,41.0,510
Сэндвич Биг Тейсти,44.0,52.0,50.0,850
Сэндвич Биф а-ля Рус,29.0,31.0,44.0,580
Сэндвич Биф Ролл,20.0,29.0,43.0,520
Сэндвич Гамбургер,13.0,9.0,30.0,255
Сэндвич Двойной Чизбургер,27.0,24.0,31.0,450
Сэндвич Макчикен,20.0,19.0,44.0,435
Сэндвич Монблан Бургер,55.0,42.0,55.0,740
Сэндвич Роял Де Люкс,30.0,29.0,42.0,555
Сэндвич Роял Чизбургер,32.0,28.0,36.0,530
Сэндвич Филе-о-фиш,14.0,13.0,36.0,320
Сэндвич Фиш Ролл,17.0,23.0,49.0,475
Сэндвич Фреш Ролл,25.0,38.0,40.0,610
Сэндвич Цезарь Ролл,22.0,24.0,50.0,510
Сэндвич Чизбургер,16.0,13.0,30.0,305
Сэндвич Чикен Бекон,27.0,36.0,60.0,680
Сэндвич Чикен Мифик,29.0,35.0,48.0,625
Сэндвич Чикен Эмменталь,29.0,35.0,48.0,625
Сэндвич Чикенбургер,12.0,16.0,41.0,360
Чикен Макнаггетс McDonalds,2.8,2.3,3.2,45
Яблочные дольки McDonalds,0.0,0.0,8.0,38
Бутанику кадзукири,3.2,5.1,24.2,156
Бутанику рёри,16.6,22.2,3.4,280
Васаби игай-яки,4.5,8.0,11.5,136
Васаби Сэн Сой Премиум,0.0,9.0,40.0,241
Гюнику татаки,12.8,2.6,6.8,102
Гютан терияки,11.0,22.5,14.1,223
Даси,5.0,0.0,30.0,120
Дорадо терияки,9.9,5.7,3.4,105
Ика фурай,8.2,4.6,10.0,115
Кани гуриру,7.0,11.6,17.2,201
Кани муни,6.1,5.8,11.0,121
Караса кани,10.1,1.0,9.0,85
Кимучи,1.4,0.7,8.4,45
Кинси маки,8.5,18.0,2.4,210
Мисо,12.3,5.5,24.6,197
Насу тёмире,2.9,4.5,7.4,82
Нинику эби,8.2,13.4,5.8,177
Огава аки,18.8,5.1,10.2,162
Основа для рыбного бульона ХонДаши,22.0,1.0,32.3,226
Ролл Авокадо,2.0,1.3,21.2,105
Ролл Аляска,4.2,2.7,12.2,90
Ролл Ацуй маки,5.8,5.7,15.5,137
Ролл Беруто дайкон,0.3,0.4,23.4,99
Ролл Бутанику кимути,5.1,6.9,15.2,144
Ролл Гейша маки,5.7,7.2,17.4,158
Ролл Дзитаку,6.4,6.1,16.8,148
Ролл Дракон маки,4.8,11.4,16.7,189
Ролл Инари спайси,6.0,4.8,13.8,123
Ролл Кагувасэ,7.2,6.5,20.9,171
Ролл Кадзи сякэ,6.5,5.9,15.8,142
Ролл Калифорния,7.0,8.8,17.2,176
Ролл Кани хината,4.4,6.2,12.7,124
Ролл Каппа маки,1.7,0.7,19.2,90
Ролл Каруй,0.1,0.3,10.8,46
Ролл Киото,8.4,6.3,16.0,155
Ролл Кирои,4.8,8.3,16.3,159
Ролл Кунсэй батакон,8.3,8.9,15.1,174
Ролл Манацуби,4.5,3.4,12.6,99
Ролл Масиро дайкон,2.3,2.0,11.1,71
Ролл Мидори сякэ,9.8,6.5,13.5,152
Ролл Овара,6.5,5.9,15.8,143
Ролл Окинава,5.8,4.8,18.0,139
Ролл Радуга,3.5,2.4,17.3,105
Ролл Рок-н-ролл,5.3,5.6,16.5,138
Ролл Супайсу тэмпура,8.5,6.7,16.5,160
Ролл Сякэ,6.8,2.7,19.3,128
Ролл Сякэ кунсей маки,6.0,5.5,18.1,146
Ролл Сякэ унаги маки,8.5,7.1,13.1,150
Ролл Тамаго маки,7.0,7.0,13.5,145
Ролл Тануки,9.7,11.5,14.4,201
Ролл Тануки фурай маки,5.5,6.6,18.2,154
Ролл Тори ясай,6.5,8.3,5.6,160
Ролл Тэкка маки,2.8,1.7,19.2,105
Ролл Тэмпура,6.1,3.6,18.0,129
Ролл Унаги,5.3,8.3,19.2,173
Ролл Унаги кани,9.8,18.0,19.2,277
Ролл Унаги тидзу,10.9,8.4,11.6,165
Ролл Унаги урамаки,6.1,7.5,15.0,152
Ролл Филадельфия,9.7,6.7,10.8,142
Ролл Харумаки,14.4,15.2,11.9,242
Ролл Цукини маки,1.1,5.9,7.5,87
Ролл Чидори,8.5,8.0,14.3,163
Ролл Эби каиган,5.7,2.8,17.8,120
Сакана кимчи,6.5,3.0,10.6,96
Сан химаго,10.1,7.6,11.2,154
Сарада Бито,1.8,0.6,14.4,70
Сарада Вакамэ су,1.8,1.1,7.2,47
Сарада Гюнику,17.8,6.0,3.9,140
Сарада Ицаку,5.9,9.2,9.3,143
Сарада Кайсо,1.7,2.4,10.8,71
Сарада Киноки,6.7,9.0,3.5,122
Сарада Мидори,1.3,1.2,4.2,33
Сарада Мояши,1.4,2.2,6.0,49
Сарада Рэтасу эби,6.5,4.7,16.0,132
Сарада Сяке-Кунсэно,9.8,18.0,1.9,208
Сарада Тако беби,3.0,1.4,8.6,60
Сарада Тори но маринадо,1.4,5.3,12.4,143
Сарада Тори-Кунсэно,10.0,5.7,15.0,164
Сарада Харусамэ,1.2,4.6,7.6,109
Сарада Хияши вакамэ,1.3,5.2,10.2,92
Сарада Шиитакэ ремонэ,1.7,0.3,15.5,73
Сарада Эби уми,5.0,0.8,20.6,110
Сарада Югатами хару,7.3,4.0,8.7,100
Сашими Изуми-тай,11.6,2.2,1.1,71
Сашими Ика,11.3,1.5,1.3,63
Сашими Икура,10.6,3.5,1.1,80
Сашими Магуро,15.3,2.8,1.1,91
Сашими Сякэ,12.5,5.0,1.1,73
Сашими Тако,5.6,1.2,1.1,37
Сашими Тобико,9.4,3.3,1.5,72
Сашими Томаго-яки,7.2,12.1,2.4,147
Сашими Унаги,9.3,19.0,1.8,215
Сашими Хамачи,10.2,6.7,1.1,106
Сашими Хотатэ,5.0,1.5,2.3,42
Сашими Эби,11.3,0.7,1.6,58
Суп  Шаксфин,2.0,1.1,5.6,41
Суп Бута рамен,3.6,4.1,6.1,76
Суп Гёдза мисо,3.4,4.9,6.5,83
Суп Икинацу мисо,0.3,0.3,6.1,28
Суп Исикари мисо,2.6,5.2,6.6,84
Суп Каники мисо,2.0,2.8,6.3,59
Суп Кимчи тиге,2.2,3.8,5.4,65
Суп Мангэцу куриму,5.0,4.0,11.0,101
Суп Мисо сиру,2.1,1.2,11.7,66
Суп Самуй сиру,2.0,3.0,6.9,62
Суп Суймоно,1.9,1.1,11.6,62
Суп Сякэ тядзукэ,2.4,2.8,4.0,51
Суп Темпура дзосуй,3.0,1.3,8.5,58
Суп Тори рамэн,1.9,1.7,8.2,55
Суп Удзура тамаго,2.6,1.1,7.3,50
Суп Хакусай бекон куриму,2.5,4.1,7.1,76
Суп Эби тай сиро,4.7,2.4,11.2,85
Суп Эби чили мисо,1.8,3.0,7.6,65
Суши Изуми-тай,8.4,1.6,15.2,108
Суши Ика,8.4,1.2,16.0,108
Суши Икура,13.6,5.5,15.6,161
Суши Инари кунсэй,11.0,8.6,11.5,151
Суши Инари магуро,10.7,9.3,11.3,172
Суши Инари сякэ,9.6,10.0,11.3,173
Суши Инари унаги,8.4,15.0,11.3,213
Суши Инари хамачи,9.6,10.0,11.3,173
Суши Инари хотатэ,6.9,8.1,11.8,147
Суши Кани,8.4,0.8,15.2,101
Суши Магуро,11.2,2.4,15.2,126
Суши Супайсу кани,7.3,12.3,13.3,193
Суши Супайсу магуро,9.3,13.3,13.3,209
Суши Супайсу сякэ,8.0,14.6,13.3,216
Суши Супайсу унаги,6.3,16.0,13.3,222
Суши Супайсу хамачи,7.0,15.3,13.3,218
Суши Супайсу хотатэ,4.0,12.7,14.0,183
Суши Супайсу шиитакэ,3.6,16.0,14.6,216
Суши Супайсу эби,7.3,12.3,13.6,193
Суши Сякэ,9.2,3.6,15.2,129
Суши Сякэ кунсей,10.4,5.6,15.2,152
Суши Тако,4.0,1.2,15.2,87
Суши Тамаго-яки,5.2,7.2,16.0,149
Суши Тобико,12.8,4.0,15.6,149
Суши Унаги,7.2,12.8,15.2,204
Суши Хамачи,8.0,4.8,15.2,136
Суши Хияши,5.0,3.6,15.6,114
Суши Хотатэ,3.6,1.6,16.0,93
Суши Эби,7.0,0.8,15.6,97
Сякэ тэрияки,12.9,5.2,16.2,168
Тамагояки тяхан,5.8,5.4,11.1,116
Тонкацу тяхан,1.9,1.2,25.3,120
Тори папурика,8.3,10.3,10.3,167
Уми каигара,4.6,2.8,15.6,106
Умисай гюнику,9.9,5.1,9.2,122
Унайдзю,6.5,8.0,10.8,142
Харусамэ тамагояки,7.7,2.5,20.5,135
Хорэнсо сяке,26.6,8.1,3.8,154
Хотатэ фурай,7.0,3.6,13.0,128
Широми фурай,7.5,5.1,8.2,108
Эби папурика,7.0,9.0,8.7,143
Эби рамэн яки,7.1,3.3,20.1,139
Ясай темпура,2.9,4.5,7.4,83
Ясай шитаке удон,2.3,2.7,21.6,120
Биойогурт Тёма Груша-яблоко,3.2,2.8,11.6,84
Биойогурт Тёма Зеленое яблоко,3.2,2.8,11.7,85
Биойогурт Тёма Лесные ягоды,3.2,2.8,11.5,84
Биойогурт Тёма Шиповник-малина,3.2,2.8,12.0,86
Биокефир Агуша 3.2%,2.7,3.2,4.0,56
Биокефир Тёма детский 3.2%,2.8,3.2,4.1,56
Биолакт ФрутоНяня кисломолочный без сахара,3.1,3.4,4.7,62
Биотворог Тёма c черникой,7.9,4.2,10.3,111
Биотворог Тёма c черносливом,7.9,4.2,10.1,110
Биотворог Тёма классический,9.1,5.0,3.5,95
Биотворог Тёма с абрикосом,7.9,4.2,10.4,111
Биотворог Тёма с яблоком и морковью,7.9,4.2,10.0,109
Борщик Heinz с говядинкой,11.3,6.7,67.0,374
Вермишелька Heinz звездочки Любопышки,10.3,1.3,78.6,367
Гречневая каша Nestle безмолочная,11.0,3.0,76.5,377
Гречневая каша Nestle безмолочная с черносливом,11.0,3.0,76.5,377
Гречневая каша Nestle молочная,14.0,10.0,66.0,410
Гречневая каша Nestle молочная с курагой,14.0,10.0,66.0,410
Гречневая каша Малютка безмолочная,11.4,2.7,76.3,375
Гречневая каша Малютка молочная с черносливом,12.8,12.4,67.1,431
Гречневая каша ФрутоНяня безмолочная с яблоком,0.7,0.0,15.0,63
Гречневая кашка Heinz грушка абрикос смородинка молочная,12.0,2.9,76.2,379
Гречневая кашка Heinz низкоаллергенная без молока,9.5,1.6,74.0,350
Гречневая кашка ФрутоНяня молочная жидкая с яблоком,2.0,1.9,9.6,62
Зерновая каша Hipp с фруктами,0.8,0.1,15.9,71
Зерновая каша Hipp с яблоками и бананами,0.8,0.1,14.1,64
Йогурт Агуша вязкий с бананом 2.7%,3.0,2.7,12.0,88
Йогурт Агуша детский натуральный 2.9%,3.0,2.9,10.4,80
Йогурт Агуша детский с черносливом 2.6%,2.8,2.6,11.8,82
Йогурт Агуша питьевой натуральный 3.1%,3.2,3.1,3.7,58
Йогурт Агуша питьевой с персиком 2.7%,2.8,2.7,10.7,81
Йогурт Агуша питьевой с черносливом 2.7%,2.8,2.7,10.7,81
Йогурт Здрайверы клубника 2.5%,2.8,2.5,13.3,90
Йогурт Здрайверы мультифрукт 2.5%,2.8,2.5,10.5,76
Йогурт Здрайверы персик-злаки 2.5%,2.8,2.5,14.0,90
Йогурт Здрайверы яблоко-банан 2.5%,2.8,2.5,14.0,90
Йогурт Растишка с бананом и печеньем,3.8,3.0,16.5,108
Йогурт Растишка с земляникой,2.9,1.6,15.6,88
Йогурт Растишка с клубникой и печеньем,3.8,3.0,16.5,108
Йогурт Растишка с лесными ягодами,2.9,1.6,15.6,88
Йогурт Растишка с мякотью вишни,2.9,1.6,15.5,89
Йогурт Растишка с мякотью клубники,2.9,1.6,15.4,88
Йогурт Растишка с мякотью персика и абрикоса,2.9,1.6,15.6,88
Йогурт Растишка с печеньем,2.9,1.6,15.2,86
Йогурт Растишка с черникой,2.9,1.6,15.6,88
Йогуртное пюре Gerber с грушей и бананом,1.0,3.0,11.0,90
Йогуртное пюре Gerber с малиной и черникой,0.8,2.2,12.0,70
Каша 3 злака Nestle молочная с яблоком и грушей,14.0,10.0,67.5,416
Каша 5 злаков Nestle молочная с яблоком и бананом,14.0,10.0,68.0,418
Каша 7 злаков Малютка безмолочная,10.9,2.2,73.2,374
Кефир Агуша 3.2%,2.7,3.2,4.0,56
Кисель ФрутоНяня из клюквы,0.0,0.0,11.0,44
Кисель ФрутоНяня из малины,0.0,0.0,11.5,46
Кисломолочный напиток Агуша Я Сам! Иммунити,2.0,3.4,8.3,72
Коктейль молочный Агуша Я Сам! кукуруза с бананом,2.5,3.0,10.5,85
Коктейль молочный Агуша Я Сам! рис-груша-яблоко,2.6,3.0,9.4,75
Коктейль молочный Агуша Я Сам! с гречкой,2.5,3.0,8.0,75
Коктейль молочный Здрайверы Клубника 3.2%,2.8,3.2,7.5,70
Коктейль молочный Здрайверы Крем-Брюле 3.0%,2.8,2.0,8.5,63
Коктейль молочный Здрайверы Шоколадный 3.0%,2.9,3.0,10.0,81
Кукурузная каша Малютка безмолочная,7.0,1.0,84.5,375
Кукурузная кашка Heinz низкоаллергенная без молока,7.8,3.0,80.4,380
Кукурузная кашка Heinz тыква чернослив морковочка молочная,12.9,6.4,71.2,394
Многозерновая кашка 5 злаков Heinz без молока,6.9,1.8,83.0,374
Многозерновая кашка Heinz Любопышки банан клубника йогуртная,13.0,10.9,65.0,410
Многозерновая кашка Heinz Любопышки слива абрикос черника молочная,13.0,11.0,66.0,414
Молоко Агуша с витаминами А и С 3.2%,2.9,3.2,4.7,59
Молоко Агуша с лактулозой 2.5%,3.0,3.2,4.5,59
Молоко Агуша Я Сам! Иммунити 2.5%,2.9,2.5,4.8,53
Молоко Тёма детское 3.2%,3.0,3.2,4.7,60
Молоко Тёма детское обогащенное 3.2%,2.9,3.2,4.7,59
Морс Агуша ягодный сбор,0.0,0.0,10.0,42
Морс ФрутоНяня из клюквы и малины,0.0,0.0,10.0,42
Морс ФрутоНяня из ягод,0.0,0.0,11.4,46
Мультизлаковая каша Малютка молочная с печеньем,13.3,11.7,66.5,431
Мультизлаковая каша Малютка молочная с фруктами и овсянкой,12.2,14.2,67.1,445
Мультизлаковая кашка ФрутоНяня молочная жидкая,2.1,2.0,9.9,64
Нектар Бабушкино Лукошко Яблоко Груша,0.0,0.0,12.0,48
Нектар ФрутоНяня из бананов с мякотью,0.0,0.0,12.0,48
Нектар ФрутоНяня из яблок и вишни с мякотью,0.0,0.0,12.0,48
Нектар ФрутоНяня Яблоко-слива с мякотью,0.0,0.0,12.0,48
Овсяная каша Hipp с абрикосами и яблоками,0.5,0.2,13.0,59
Овсяная каша Nestle безмолочная,10.0,6.0,72.0,382
Овсяная каша Nestle молочная с грушей и бананом,14.0,10.0,65.0,406
Овсяная каша Nestle молочная с яблоком и абрикосом,14.0,10.0,65.0,406
Овсяная каша Малютка молочная с фруктами,12.7,14.0,65.8,440
Овсяная каша ФрутоНяня безмолочная с яблоками и ягодами,1.2,0.0,15.0,64
Овсяная кашка Heinz с молоком и бананом,12.0,8.7,69.1,403
Овсяная кашка ФрутоНяня молочная жидкая с бананом,2.1,2.0,9.2,62
Овсяно-пшеничная каша Малютка безмолочная с яблоком,9.2,3.6,80.3,390
Печенье детское бегемотик Бонди с железом,8.4,11.5,70.0,403
Печенье детское бегемотик Бонди с йодом,8.4,11.5,70.0,403
Печенье детское бегемотик Бонди с кальцием,8.4,11.4,70.0,401
Печенье детское Расти большой овсяное,8.0,11.0,73.0,424
Печенье детское Расти большой с бананом,8.0,11.0,73.0,423
Печеньице детское Heinz,8.5,8.5,79.0,427
Печеньице детское Heinz 6 злаков,8.5,8.5,79.0,427
Печеньице детское Heinz Какао,9.0,8.0,79.5,426
Пудинг Heinz бананчик яблочко в сливках,8.5,4.1,78.0,384
Пудинг Heinz фруктовое ассорти в сливках,8.2,5.2,76.3,385
Пудинг ФрутоНяня ванильный,2.6,3.2,11.5,85
Пудинг ФрутоНяня шоколадный,2.9,3.4,12.0,89
Пшеничная каша Nestle молочная с бананом,15.0,10.0,66.0,414
Пшеничная каша Nestle молочная с тыквой,15.0,10.0,66.0,414
Пшеничная каша Nestle молочная с яблоком,15.0,10.0,66.0,414
Пшеничная каша Малютка молочная с тыквой,12.3,11.3,69.3,428
Пшеничная каша ФрутоНяня молочная с фруктами,1.2,0.0,15.0,65
Пшеничная кашка Heinz с молоком и тыквой,12.0,5.7,73.3,392
